Tweet,True danger tweet?,True non-danger tweet?
Dog found in garbage dump becomes first dog on record to climb Mount Everest http://abc7.la/1a5K2dq ,,1
"#BREAKINGNEWS Gas leak at a mall on La Palma Avenue in downtown Buena Park has forced evacuation of workers, shoppers; no injuries",,
#BREAKINGNEWS LA Sheriff's aide relieved of duty following @ABC7 investigation http://abc7.la/1dqx9u1  More details at 6pm,,1
K-rails - highway barriers - are being installed in Monrovia neighborhoods to keep residents and properties safe; Details at 6am on @ABC7,,1
"#NEWSTODAY Sentencing begins for gangster James ""Whitey"" Bulger; Prosecutors seeking 2 consecutive life sentences",,1
Cops call her the #BurqaBandit but she's no Muslim. The brazen bank robbery igniting a religious firestorm.... https://vine.co/v/hTjTqEJZFMm ,,
"New guidelines for preventing heart attacks, strokes: 1/3 of all U.S. adults should consider taking statin drugs http://abc7.la/1e2IKjT ",,
Bell corruption trial: Spaccia defense reveals Robert Rizzo email about police force http://abc7.la/1fAmRJe ,,1
College student dies jumping at Hermit Falls in Angeles National Forest north of Arcadia http://abc7.la/1e2oVcu ,,
THIS JUST IN: Police setting up perimeter at 14006 Morrison Street in Sherman Oaks. Felony suspect search.,,
THIS JUST IN: Homes evacuated on 1400 block of South Sydney Dr. in Commerce due to natural gas leak; crews on scene,1,
"AT&T and Verizon waive fees, offer free calls and texts to Philippines http://abc7.la/1dnryEM ",,1
Man arrested for placing pipe bomb underneath ex-wife's car in parking lot. Couple's 2 kids in car http://abc7.la/1j2SfzS ,,1
#BREAKINGNEWS Center for Early Education in West Hollywood evacuated due to suspicious package near Melrose and La Cienega,,
It's 11/12/13 today! Are you doing anything special? pic.twitter.com/0NolDPvZmH,,1
SOUTH LA UPDATE: Wanda Mikes Primary Center is also on lockdown due to LAPD activity in the area,,
Here's another great sunrise shot from downtown LA (Photo via ABC7 viewer Mel Lewis) pic.twitter.com/XC1iai285p,,1
"#BREAKINGNEWS Crews headed to house fire in 4700 block of Cogswell Rd in El Monte; reports say fully engulfed, wires down",1,
UK airport taking step to lift liquid restrictions but is the US ready? @ABC7 reporter Q McCray has the story on Eyewitness News at 6am,,1
Study finds violence in PG-13 movies has surpassed violence in R-rated movies http://abc7.la/17QrOy4 ,,
#BREAKINGNEWS Bomb squad investigating suspicious item in Calabasas in area of Camino Plano & Calle Largo; nearby homes evacuated,1,
"Man knocked unconscious by punch, fall outside Chop Shop Bar in Simi Valley last night. Acquaintance arrested http://abc7.la/17rhjAI ",,1
"President @BarackObama honors 107-year-old Richard Overton, the oldest living World War II veteran pic.twitter.com/Wp9nllJj06",,1
Young girl suffered burns to 20% of her body after she & friends played w/ gasoline and fire in Wrightwood http://abc7.la/HO8EwU ,,
"INGLEWOOD UPDATE: Police say body of man found at parking lot of Hollywood Park Race Track determined to be medical, not suspicious",,1
#NEWSTODAY FDA recalls diet pills linked to liver damage http://abc7.la/1dgHgSj ,1,
THIS JUST IN: Iran's state TV says a 'roadmap' for expanded monitoring reached with UN nuclear chief.,,1
Plum Organics recalling some baby food products due to a manufacturing defect http://abc7.la/1azBes2 ,1,
LONG BEACH UPDATE: Suspect transported to hospital in serious condition. Police say he matched description of man firing gun.,,1
Glass Onion Catering grilled chicken linked to E. coli outbreak http://abc7.la/1iXwvpa  Recall affects 2 salads sold at Trader Joe's,1,
WIN tickets to the SPY EXHIBIT for your entire family http://woobox.com/jfnsrj ,,1
Virtual kidnappings scam targets immigrants http://abc7.la/1iUNCb8  Tricked immigrants into thinking their loved ones had been kidnapped,1,
"Man arrested after bolting through checkpoint @ Sea-Tac Airport, breaking into empty plane by punching window http://abc7.la/1aLpV63 ",,1
Police alerting public about 2 recent kidnapping attempts in LA area http://abc7.la/1hqLD30  <--See suspect sketch,1,
Suspect named in murder of S LA store clerk http://abc7.la/HN7VLC  Sources tell @ABC7 suspect was in custody on unrelated case,,1
Fukushima Fallout: Should the West Coast be concerned? @ABC7David's in-depth look at 11 pic.twitter.com/fgrKDMrUZD,,
WANDERING TODDLER UPDATE: Deputies have located mother of boy found wandering streets in Lynwood http://abc7.la/1c3Paxd ,,
More than half of child booster seats this year earned top rating from Insurance Institute for Highway Safety http://abc7.la/1dR3M58 ,,1
Lululemon founder blames women’s bodies for yoga pant problems http://abc7.la/HK1VUP  Email us your thoughts video@abc7.com,,1
"FDA will require food industry to gradually phase out trans fats, saying they're threat to people's health http://abc7.la/1be4ib9 ",,
Heading to LAX? Injury crash near LAX Sepulveda Blvd tunnel causing delays http://abc7.la/HLbTEz  <- See live traffic map,,
"In case of an emergency, there's new high-tech way to get crucial health info from your smartphone to your doctor http://abc7.la/17OjhcR ",,
2 LA councilmen seek to legalize and regulate street vendors in city http://abc7.la/1gsQsHJ ,,1
Why is it less risky to order corn on the cob or cupcakes? @ABC7Lori shows how to pick your food truck wisely at 11 pic.twitter.com/tTf7wYJTOa,,
Anyone capture video of that bright light in the sky that just passed? Please share or send to video@abc7.com,,1
"ELA bus stop crash: SUV driver flees on foot north on Atlantic, male wearing blue jeans, white/gray shirt http://abc7.la/17d3whj ",,
See tips for an effective water workout and how to prevent swimmer's shoulder http://abc7.la/1emCTIV ,,
Whittier Boulevard lanes closed in both directions at Atlantic Blvd in East L.A. due to traffic collision #TRAFFICALERT,,
"THIS JUST IN: Vehicle crashes into bus stop at Whittier/Atlantic in East Los Angeles, possible injuries #TRAFFICALERT",,
UPDATE: Evacuations underway near South LA tow yard due to suspicious item investigation; area is mix of residential/industrial,,
Blockbuster video-rental stores owned by Dish Network shutting down across country http://abc7.la/1baHIQy  will affect 300 locations,,1
#BREAKINGNEWS LAPD bomb squad en route to tow yard on 2000 block of E 25th St after workers reported suspicious item,,
Illinois set to become the 15th state nationwide to legalize same-sex marriage http://abc7.la/19DYAR3 ,,1
FLORENCE UPDATE: Burglary suspects believed to be barricaded inside market at Hooper Ave/Firestone Blvd,,
#BREAKINGNEWS Possible barricade situation at Hooper Ave & Firestone Blvd in Florence; SWAT on scene,,
Get your weather forecast as soon as you wake up with the FREE @ABC7 ALARM CLOCK APP http://bit.ly/ABC7Alarm ,,1
"RIVERSIDE CRASH UPDATE: 2 people pronounced dead at scene http://abc7.la/HzydBI  Vehicle slammed into light pole, palm tree and caught fire",,
#AMBERALERT Ping from suspect's cellphone picked up in San Diego area overnight http://abc7.la/1b5iN2C  SEE PHOTO --> pic.twitter.com/gBijUDN8jM,,
PHOTO: One person killed after vehicle crashes into palm tree at Jackson St and Sage Ave in Riverside; Avoid area pic.twitter.com/Qz09akv4Rs,,1
#AMBERALERT Police say missing baby is 2 weeks old and was taken by dad http://abc7.la/1b5iN2C  Vehicle has large American eagle decal,,
20-yr-old USC student hospitalized after being hit by hit-run driver who ran red light; @ABC7JohnGregory has details on @ABC7 at 6am,,
"#AMBERALERT 1-mth-old abducted from Sunnyvale, Calif. Suspect Mesut Guler driving tan 2004 GMC Envoy – plate 6HIL892 pic.twitter.com/LITtEYV6xD",1,
Final count shows Wendy McCammack heads to runoff in San Bernardino mayor's race even as she's recalled from council seat.,,1
"Study finds testosterone supplements may increase heart attack, stroke risk in men http://abc7.la/1b45S0X ",,
"Attorney for Conrad Murray, Michael Jackson's last physician, receiving death threats since last week http://abc7.la/186O5St ",,
Sketch of suspect who tried to kidnap teen walking home from school in San Gabriel on Broadway/Walnut Grove pic.twitter.com/hKN1Xg2yhI,,
"Sheriff's dept confirms deputy-involved shooting occurred in Long Beach area, would not release further info http://abc7.la/1a5JW4m ",,
LA City Fire battling a fully involved restaurant attic fire at Ventura and Shoup in Woodland Hills,,
#BREAKINGNEWS Investigation underway after human remains found in desert area near South St/Sheep Creek Rd in Phelan,,
Hemet woman uses a tomahawk to scare off a pair of burglars from her home http://abc7.la/1a5AtdA ,,1
THIS JUST IN: LA City trash truck overturns on I-5 near Valencia Blvd; driver transported in stable condition,,
"A red flag warning is in effect, prompting firefighters to prep for any fire threat. Details in the 6am hour on @ABC7",,
#NEWSTODAY Officers & fire crews to practice an emergency response drill at Los Cerritos Center mall from 6am-10am today,,1
Home-invasion robbers target elderly Burbank couple at home on Bonita Avenue. Suspects sought http://abc7.la/1gnQ4Km ,1,
Singer Janis Joplin received posthumous star on Hollywood Walk of Fame in front of Musicians Institute today http://abc7.la/1gnJROA ,,1
CalArts in Valencia remains closed after a highly contagious stomach virus spread throughout campus http://abc7.la/1aYPtLm ,1,
Johnson & Johnson to pay $2.2B settlement to resolve allegations it promoted drugs for unapproved uses http://abc7.la/173PLBe ,,1
Kids sickened by possible drug-laced candy in Moreno Valley and Huntington Beach http://abc7.la/HqYNwv  Parents urged to inspect sweets,1,
THIS JUST IN: 2 people burned in house fire at 2700 block of Nebraska Avenue in South Gate; @LACo_FD on scene,1,
Police are warning SoCal parents after 2 children may have eaten drug-laced Halloween candy. Details in the 6am hour on @ABC7,1,
#NEWSTODAY 1 person in custody after mobile drug lab found in North Hollywood,,
"#BREAKINGNEWS Terminal evacuated at airport in Birmingham, Ala., because of threat, @AP reports",,
#BREAKINGNEWS: Two people injured following plane crash at Catalina Island airport,,
"Power outage in Sherman Oaks & Van Nuys affecting 1,400 customers, per DWP. Restoration time estimated at 10-12 hours or sooner",,
"Explosion at fireworks factory in China kills 11 workers & injures 17 others, local official said Saturday http://abc7.la/17F0HnB ",,
"Honda recalling 344,000 Odyssey minivans over problem that can cause vehicle to brake suddenly http://abc7.la/Hn44VK ",1,
PHOTO: Daylight Saving Time ends at 2 a.m. Sunday. Don't forget to set your clocks back 1 hour before going to bed. pic.twitter.com/LhPOdCnSCC,,
WATCH #LIVE Authorities hold news conference to give update on investigation regarding LAX Terminal 3 shooting http://abc7.com/live ,,
21-yr-old arrested for hit-run in connection w/ girlfriend's death http://abc7.la/1bNzqhu  Victim and couple's infant found injured on street,,1
WEATHER ON THE GO with the FREE ABC7 Mega Doppler App --> http://abc7.com/apps ,,1
"2 killed, 3 taken to hospital in San Bernardino after horrific car crash http://abc7.la/18GGhNj ",,1
".@VistaLA searches for the best tamales, speaks to Jenni Rivera's brother & more coming up at 11:30am on @ABC7",,1
"Coming up at 11am on @ABC7Newsmakers: @RepKarenBass talks bipartisan budget deal, adding transportation jobs to the local economy",,1
Former El Segundo teacher charged with molesting 13 boys http://abc7.la/1l6Qu60 ,,
Start your day off right with the FREE ABC7 ALARM CLOCK APP http://abc7.com/apps ,,1
"Ready, Set, Bake! @LiveWellTV’s FOOD RUSH HOLIDAY CHALLENGE starts at noon on @ABC7.",,1
"#NEWSTODAY After 75 years, Hollywood Park closes today http://abc7.la/J76ZTH  Will be turned into housing & retail development",,1
Stabbing near Jefferson Park leaves man dead http://abc7.la/1hwds6y  Suspect sought,,
Man walked up to Romano's Jewelers counter inside Glendale Galleria and stole bracelet worth $85K http://abc7.la/1gOX9nH  Caught on camera,,1
"Thief steals $85,000 diamond-lined bracelet from crowded Glendale Galleria jewelry store; details and surveillance footage at 11pm on @ABC7",,1
Watch your favorite ABC7 shows on the go with the WATCH ABC APP --> http://getwatchabc.com ,,1
18-yr-old sentenced to 12 days in jail in connection to Huntington Beach riots following U.S. Open of Surfing http://abc7.la/1d03Ccc ,,1
Target offering US customers 10 percent off Saturday and Sunday http://abc7.la/JQbeTy  Discount part of credit fraud apology,,1
It’s been almost 20 years since the Northridge Quake hit. Do you remember where you were? Tweet us with #NorthridgeQuake,,1
"COLORADO UPDATE: Claire Davis, 17, passed away with her family by her side http://abc7.la/JTRZcv  Family thanks public for kindness, prayers",,1
"#BREAKINGNEWS Colorado high school shooting victim Claire Davis died in the hospital this afternoon, hospital confirms",,1
NASA astronauts conduct spacewalks for urgent repairs http://instagram.com/p/iM_i_QkGM_/ ,,1
SET A REMINDER! @LiveWellTV’s Food Rush Holiday Challenge starts Sunday at noon on @ABC7,,1
Suspected gunman who killed 1 person & injured another at Reseda apartment complex identified by police http://abc7.la/JTDw0j ,,
"Get breaking news alerts, live video and more with the FREE ABC7 NEWS APP http://abc7.com/apps ",,1
"#TRAFFICALERT Stalled car blocking left lane on 405 N past Century in Westchester; traffic jammed from 105, stays slow to 90",,
Wildfire in central California's Big Sur region is now fully contained http://abc7.la/1du9MPU ,,1
Start your day off right with the FREE ABC7 ALARM CLOCK APP http://abc7.com/apps ,,1
#NEWSTODAY Search underway to find who shot man while he was driving on 14 Fwy in Palmdale http://abc7.la/1evBbG5 ,,
91 EAST UPDATE: Lanes back open following earlier crash near 14th Street in Riverside,,1
#TRAFFICALERT All lanes of 91 East closed before 14th Street due to crash involving 8-9 cars; CHP on scene,,
"A local woman helped make a Christmas wish come true for her friend, who is a single mother http://abc7.la/1cYJk2w  See her story",,1
Judge orders Oakland hospital to keep girl on life support after what was supposed to be routine tonsillectomy http://abc7.la/18Zv8BY ,,
RESEDA UPDATE: Police say suspected shooter's wife is property manager at apartment http://abc7.la/1i97mMc ,,1
"UPDATE: 1 dead in Reseda shooting, 1 injured. Suspect's motive in shooting unknown http://abc7.la/1i97mMc ",,
UPDATE: Suspect arrested in Canby Avenue shooting in Reseda after charging at officers http://abc7.la/1i97mMc ,,1
"Pope's message to feed the hungry, help the underprivileged inspires Good Samaritans in Inland Empire http://abc7.la/1dsHaq1 ",,1
"California's jobless rate dropped to 8.5 percent in November, continuing a positive trend http://abc7.la/1c9adkl ",,1
"#BREAKINGNEWS At least 2 shot on 7200 block of Canby Ave in Reseda. Suspect in custody, according to @LAPDMission Division",,
Family files $20M claim against city of LA in fatal shooting of pursuit suspect last week http://abc7.la/19ihG1R ,,1
"Long Beach sets preliminary record-high temperature of 83 degrees today, breaking 79-degree mark (1976), per National Weather Service",,
#TRAFFICALERT Intersection of Ventura/Sepulveda affected by fire at Sherman Oaks Galleria restaurant. Firefighters on scene.,,
"THIS JUST IN: Vent fire doused at El Torito Grill at Sherman Oaks Galleria. Mall alarms reported, firefighters on scene.",,
Woman shot to death in front of family in South LA on Christmas Day http://abc7.la/19s2BL7  Drive-by shooting suspects remain outstanding,,
#TORRANCE UPDATE: Asa Dolak killed by police in shoot-out at Madrona Middle http://abc7.la/1ljdHSr ,,
#TORRANCE UPDATE: Police say body at Madrona Middle School is arson suspect Asa Dolak http://abc7.la/1ljdHSr ,,
THIS JUST IN: Police are investigating after a body was found at Madrona Middle School in #Torrance.,,
Orange County firefighters rescue girl after her head gets stuck in McDonald's gate http://abc7.la/1fKJJ8D ,,1
"Bill caps campaign to address rape, assault in military http://abc7.la/1lj0RDS  Commanders no longer permitted to overturn jury convictions",,
#BREAKINGNEWS President Obama signs bipartisan budget bill that eases spending cuts over 2 years http://abc7.la/JuKF60 ,,1
THIS JUST IN: President Obama signs comprehensive defense bill cracking down on sexual assault in the military,,1
#CHASE UPDATE: Watch video of suspect's nail-biting arrest in #Compton http://abc7.la/1g4sJv3 ,,1
#CHASE UPDATE: Driver has been taken into custody in Compton,,1
"#CHASE UPDATE: Car has come to a stop, deputies waiting to see if driver will exit http://abc7.com/live ",,
THIS JUST IN: LAX shooting suspect Paul Ciancia pleads not guilty to murder. http://abc7.la/1edzjgR ,,1
#CHASE UPDATE: Driver nearly misses oncoming traffic in Compton http://abc7.com/live ,,
WATCH LIVE Carjacking suspect #chase in Compton area http://abc7.com/live ,,
Paul Ciancia in court at 11a to face charges related to fatal LAX shooting rampage. http://abc7.la/1edzjgR ,,1
"See how Amazon, Best Buy, other companies ranked on Consumer Reports' Naughty & Nice list http://abc7.la/1dFtRTo ",,1
SIMI VALLEY UPDATE Officials say brush fire now 80% contained. Santa Susana Pass Rd remains closed between Box Cyn & Rocky Peak roads,1,
Christmas packages haven't arrived? We'd like to hear from you! Tweet us or call us at (818) 863-7600,,1
Man allegedly attacks his mother and then stabs his stepfather to death in Watts http://abc7.la/1c7IpvF ,,
#NEWSTODAY Santa Anita Park in Arcadia opens gates at 10am for 77th winter season; 1st horse race at noon,,1
Start your day off right with the FREE ABC7 ALARM CLOCK APP --> http://abc7.com/apps ,,1
Happy Kwanzaa to you and your family!,,1
"SIMI VALLEY UPDATE Fire officials say blaze is holding at 10 acres, still 20% contained. Latest updates at 6am on @ABC7",1,
SIMI VALLEY UPDATE Fire officials say the 10-acre brush fire is 20% contained http://abc7.la/1c8zB5m ,1,
SIMI VALLEY UPDATE Brush fire has burned 8-10 acres. Road closures include both directions of the 118 at Rocky Peak exit & Lilac Lane,,
#NEWSTODAY LAX shooting suspect Paul Ciancia expected to be arraigned this morning,,1
Firefighters working 10 acre brush fire in Simi Valley at 118 Freeway & Rocky Peak Road; No evacuations but there are road closures.,,
Chicago man charged with raping woman he met on social media at gunpoint http://abc7.ws/1cdUOM0 ,,
Such a beautiful city! pic.twitter.com/3OptTBakep,,1
COMMUNITY ALERT: 2 sex assault attempts reported in Humboldt Park neighborhood: http://abc7.ws/18cdS1l ,1,
"Programming Note: Due to an extended edition of ABC World News, Wheel of Fortune will be broadcast overnight at 2:05 AM.",,1
"Fire at storefront church in Gary, Indiana http://abc7.ws/18b3bMx ",,
I-TEAM: Federal hiring freeze puts Chicago justice on ice http://abc7.ws/18aKj0c ,,
"Big change in weather is headed for Chicago as temps plunge overnight and yes, snow is on the way! http://abc7.ws/1bipzT6 ",,
SNEAK PEEK: @Drake gives a special gift to a #Philadelphia school in need. http://abcn.ws/GGbZoP  pic.twitter.com/MsSG8Dk8EG @Nightline,,1
"2 million usernames/passwords may have been leaked in new cyberattack, including Facebook & Twitter: http://abc7.ws/1hz2Xlr ",,
"Missing radioactive cobalt-60 found near abandoned, stolen truck in Mexico http://abc7.ws/IEYNJD ",,
Attempted child abduction reported on West Side http://abc7.ws/1gFhedx ,1,
CTA Red Line resumes service between 47th & 95th/Dan Ryan after earlier accident: http://abc7.ws/1hyJNfm ,,1
6 students & teacher hospitalized after possible carbon monoxide leak at Stagg HS in Palos Hills: http://abc7.ws/19hEAAC ,1,
"BREAKING: Paul Walker autopsy results released, detail actor's cause of death http://abc7.ws/IEu3It ",,1
Meningitis scare spreads west to UC Santa Barbara http://abc7.ws/18gdqNi ,1,
Tonight on @Nightline – Find out what motivated @JessicaAlba to start @Honest and are there dangers of toxic chemicals in everyday products?,,
"Police release images of 'hooded bandit' they say is responsible for 4 bank robberies in Rolling Meadows, Wood Dale http://abc7.ws/1cXiHsF ",,
Chicago bakery nabs best doughnut in America in web ranking http://abc7.ws/1g4kP7f ,,1
Search for suspects after girl raped in Chicago alley --> http://abc7.ws/1k6mc2G ,,
"Join ABC Health for a tweet chat, Hopeful advances in #HIV #AIDS prevention, treatment, awareness today at 1PM, ET. #abcDRBchat.",,1
Park Ridge police honor Officer Kenneth King with Lifesaving Award --> http://abc7.ws/1ivLvQd ,,1
Search for two suspects who sexually assaulted a 16-year-old girl. @donofrioABC7 has a LIVE report at 6:01 a.m.,,
Watch out for fog out there this morning. @TracyButlerABC7 @rozvaronABC7,,
WARNING: Police issue alert after 16-year-old girl assaulted in 2300 block of w. Cermak in #Chicago. @donofrioABC7,1,
Help feed the hungry. We are LIVE today for our Spirit of Giving Food Drive. @TracyButlerABC7 @RyanWcl @MikeCaplanABC7 #abc7fooddrive,,1
"Newly-released 911 calls recall horror of Washington, Illinois tornado http://abc7.ws/1cPVlWk ",,1
Illinois lawmakers expected to vote tomorrow on pension reform bill http://abc7.ws/1g1hgif ,,1
"FBI searching for suspects who briefly took over, then robbed Chase Bank in Palatine http://abc7.ws/1iukLj3 ",,
100 After School Matters participants showcase their talents in a performance Monday night http://abc7.ws/1gA4V1X ,,1
"BREAKING: Several people shot in Gary, IN. @donofrioABC7",,
Happy Cyber Monday Chicago! Who is doing some online shopping today?,,1
WINTER PARKING BAN: 239 cars were towed this morning in Chicago for the winter overnight parking ban.,,1
UPDATE: Southbound lanes of I-55 have been reopened following fatal wrong way driver accident.,,1
City's overnight winter parking ban in effect http://abc7.ws/1guA8nc ,,1
"Montana appeals 30-day sentence for teacher who raped 14 y/o student, attorneys say sentence should be longer: http://abc7.ws/1b7uMMK ",,1
"Chicago winter overnight parking ban starts tomorrow, runs through Apr. 1st, regardless of snow: http://abc7.ws/1byU0pP ",,
"Elwood, crowned ""world's ugliest dog"" in 2007, dies in New Jersey: http://abc7.ws/1cHOCxE ",,1
COMMUNITY ALERT: Police say a man tried to lure a 9 y/o girl into his car with candy in the Dunning neighborhood: http://abc7.ws/1jVztej ,1,
"Today is ""Small Business Saturday."" Don't forget to shop at your local small businesses during your holiday shopping! pic.twitter.com/yzoXTkjOLP",,1
BREAKING: 4 dead in Alaska plane crash http://abc7.ws/1bxIE5x ,,
State officials are warning Illinois drivers to be alert to deer on roadways http://abc7.ws/1eqYpJE ,,
President Obama signs Illinois disaster declaration for tornado damaged counties. http://abc7.ws/1cvxmLG ,,
Advocacy group Illinois PIRG lists the most dangerous toys. Get the full report here--> http://abc7.ws/1ggLz1Q ,1,
